Date,week_of,Verified Purchase,Recommended,Incentivized,Product shade,Rating,Review ID,Review Title,Review,Upvote,Downvote,Reviewer Name,Reviewer Description,AgeRange,SkinConcerns,Unnamed: 15
2020-03-06,01_Mar_2020,No,Yes,No,,5 stars,P4R834,Best Cream Ever,"Absolutely love this product! I have rosacea, and this untra repair cream intense hydration soothes it and moisturizes it. I absolutely live by this cream and apply it several times each day. It is the best cream I have ever used!",11,0,jordieseri,"Brown eyes, Brunette hair, Fair skin tone, Combination skin",,Blackheads,1
2020-03-06,01_Mar_2020,No,Yes,No,,5 stars,P4R835,TOP 5 PRODUCT OF ALL TIME,definitely one of my top 5 beauty products. i use this on my face morning and night and it keeps me so moisturized. i have acne prone skin and this is the only moisturizer that doesn’t cause breakouts. i feel like it even helps heal my acne quicker than anything else. can be used on body as well! i’ll usually put some on my chest,18,0,sephoraKA,"Green eyes, Blonde hair, Light skin tone, Combination skin",,Acne,1
2020-03-04,01_Mar_2020,No,Yes,No,,5 stars,P4R836,love!!!,"This has helped immensely with my dryness on my elbows and arms! I have eczema on my arms, and this has definitely toned down the redness, flakiness, and itchiness! Doesn’t feel greasy and absorbs into the skin quickly.",6,3,cocomakeup19,"Brown eyes, Blonde hair, Fair skin tone, Dry skin",,Dark Circles,1
2020-02-28,23_Feb_2020,No,Yes,No,,5 stars,P4R837,A little goes a long way!,"I have very dry skin and I have tried endless brands of moisturizers, BUT I always come running back to my FAB ultra repair cream! 

I like to warm it between my hands and press it into my skin to really let it absorb, A LITTLE GOES A LONG WAY!",15,1,jackiepera,"Brown eyes, Brunette hair, Medium skin tone, Dry skin",,Acne,1
2020-02-26,23_Feb_2020,No,Yes,No,,5 stars,P4R838,Lurv It! Great for Work!,"I discovered this because I bought the Fablantis kit I have oily, combination, acne prone skin. I bought this tub for my hands to keep them hydrated at work after I was my hand. I work in a warehouse and wash my hands 5 million times a day because it gets super dirty. This is gentle yet strong enough to moisturize and is not greasy at all. You literally just need a dab for your hands. I even share with co workers. And it is really a great product",9,0,Alliecat8289,"Blue eyes, Blonde hair, Light skin tone, Combination skin",,Acne,1
2020-02-26,23_Feb_2020,No,Yes,No,,5 stars,P4R839,surprisingly good!!,"Don't judge this product over its price!!! I still can't believe how good this product is. Even though the bottle/ packaging does not look fancy or pretty, but it's worth it more than any other expensive products out there!! Give it a try!!",11,3,vonhukhanh,"Brown eyes, Black hair, Light skin tone, Dry skin",,Acne,2
2020-02-26,23_Feb_2020,No,Yes,No,,5 stars,P4R840,surprisingly good!!,"Don't judge this product over its price!!! I still can't believe how good this product is. Even though the bottle/ packaging does not look fancy or pretty, but it's worth it more than any other expensive products out there!! Give it a try!!",9,1,vonhukhanh,"Brown eyes, Black hair, Light skin tone, Dry skin",,Acne,2
2020-02-25,23_Feb_2020,No,Yes,No,,5 stars,P4R841,,I just fell in love with this Moisturizer. Excellent for my Super Dry and Sensitive Skin. I love First Aid Beauty products. They never disappointment!,1,1,AnaIve,"Brown eyes, Brunette hair, Light skin tone, Combination skin",,,1
2020-02-24,23_Feb_2020,No,No,Yes,,1 star,P4R842,do not buy ; clumps + doesn’t sit well w/ makeup,I put this on my skin and it flakes off. imagine a exfoliating peel. it clumps up and does not sit with makeup!!! i would not recommend this product it clumps up and makes up patchy,26,18,monique128,"Hazel eyes, Brunette hair, Fair skin tone, Dry skin",,,1
2020-02-24,23_Feb_2020,No,Yes,No,,5 stars,P4R843,"Pricey, but it’s worth it","I’m an elementary school teacher, so I’m constantly using hand sanitizer and washing my hands throughout the day...my hands get very dry, irritated, and flaky as a result.  I have bottles and tubes of the B&BW lotions all over my classroom, and while they smell nice, they do absolutely nothing to effectively moisturize my skin.  Once I started using this, I could truly notice the difference to my hands.  It’s a little thicker than other products, but quickly absorbs into the skin...definitely gives me noticeable results.  I usually purchase the 8 oz. size which comes in a tube, and recently tried to reorder but noticed that Sephora doesn’t currently offer it...I hope this is just a temporary thing.  Not only is it a much better value on an already pricey item, but I just hate the thought of digging my fingers into the 6 oz. jar...the “germaphobe” in me just thinks that so unhygienic.  Please bring back the 8 oz. tube soon!",5,0,SigmaCherub,"Brown eyes, Black hair, Fair skin tone, Combination skin",,,1
2020-02-21,16_Feb_2020,No,Yes,No,,5 stars,P4R844,,"I absolutely love this product.  The formula is great, its not really watery which I hate in a facial cream.  It truly does moisturize my skin and is the only thing that saves it in the winter.",1,0,Carole18,"Hazel eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2020-02-20,16_Feb_2020,Yes,Yes,No,,5 stars,P4R845,,I have incredibly sensitive skin and this is the only moisturizer I‘ve used that doesn’t irritate or break me out! I love it.,5,0,JillianWinne,"Green eyes, Blonde hair, Fair skin tone, Dry skin",,Aging,1
2020-02-19,16_Feb_2020,No,Yes,No,,5 stars,P4R846,MUST HAVE SKINCARE PRODUCT,"This is my FAVORITE moisturizer of all time, I’ve tried ones way more expensive and I always go back to this one, it moisturizes perfectly without any shine or greasy-ness, everyone needs to try this please !!!",3,1,sephorabtch21,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Dullness,1
2020-02-18,16_Feb_2020,No,Yes,No,,5 stars,P4R847,My Favorite Skincare Product!,"My #1 HOLY GRAIL. This is my absolute favorite moisturizer. Before I got this, Michigan winters were so hard on my skin and I could not find anything that helped my dry flaky patches on my forehead and cheeks. I was so self conscious about it and I couldn't even wear makeup because it looked so bad! I noticed a difference with this moisturizer immediately and love that even though it's thick it sinks into your skin so effortlessly. When I ran out last week I started using a different one until I could restock and within a day my skin was back to its old ways and was soo angry!! If you have struggled to find anything to help with your dry skin, buy this and you won't regret it!",15,3,cassidyb1,"Brown eyes, Brunette hair, Light skin tone, Combination skin",,Dark Circles,1
2020-02-17,16_Feb_2020,No,No,No,,3 stars,P4R848,IT IS OKAY FOR AN EVERYDAY MOISTURIZER,"It’s okay, doesn’t really moisturize my face to the point where I want it soft but does the basic job.",1,1,jenn887,"Brown eyes, Black hair, Tan skin tone, Dry skin",,Dark Circles,1
2020-02-15,09_Feb_2020,No,Yes,No,,5 stars,P4R849,Favorite Moisturizer,"My favorite moisturizer! So gentle and so hydrating. I thought I would give CereVe moisturizer for a try since I like the face wash and didn’t have the money for this one, and I missed this product so much!",7,2,helena45,"Brown eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2020-02-14,09_Feb_2020,No,Yes,No,,5 stars,P4R850,pleasantly surprised!,"This is a fantastic product and is a fair price. I recently moved to a drier climate that has very cold and harsh wind. Quickly, my skin was suffering when the winter came around. I ran out my previous moisturizer and came out of the store with this one. I’ve been using it for about a month, day and night. I’ve seen tremendous improvements in the texture of my skin. I am usually acne prone with red scarring (mostly hormonal and stress induced) along with horrible dry patches on my cheeks and nose. My skin is now very smooth and soft because of this moisturizer. It does not clog my pores or cause breakouts and is very soothing. I also use it on my hands and occasionally my legs!",2,0,mollycat1234,"Hazel eyes, Brunette hair, Light skin tone, Combination skin",,Acne,1
2020-02-12,09_Feb_2020,No,Yes,No,,5 stars,P4R851,,This is another one of my favorites like I said it makes my face feel so good and the price is so reasonable very good product.,1,2,LorettaKL,"Green eyes, Blonde hair, Medium skin tone, Combination skin",,Aging,1
2020-02-12,09_Feb_2020,No,Yes,No,,4 stars,P4R852,"A calming, non-greasy cream","I enjoy this cream in that it goes on smoothly, is not greasy, and seems to sink right into my dry skin.  It has a faint, pleasant scent.  It does not irritate my skin at all.  It's not as thick going on as it looks/feels and spreads nicely, and actually leaves my skin feeling about the same until it has some time to work.  In about 10 minutes my skin feels moisturized.  The reason for 4 stars is that I would in no way consider this to be ""intensely hydrating.""  It's calming and moisturizing enough, but nothing intense about it.  I also hate that it is in a tub - that's just annoying packaging.",1,0,MRA1,"Hazel eyes, Red hair, Tan skin tone, Combination skin",,Aging,1
2020-02-11,09_Feb_2020,No,Yes,No,,5 stars,P4R853,,Adore this moisturizer. It's affordable and it works better than most products I've tried on my skin. It helped with dryness and actually brightened my skin. Love it!,2,0,AtomicSofie,"Hazel eyes, Brunette hair, Light skin tone, Combination skin",,Sensitivity,1
2020-02-10,09_Feb_2020,Yes,Yes,No,,5 stars,P4R854,Not just for your face!,"I love this cream so much - I actually only found out today that this was intended for your face!
I got a sample several years ago, and have been buying it since, as I found that nothing would do as well as this on my extremely dry hands. In the winter, my skin dries out so badly and the skin on my fingertips cracks open.  I use it on both myself and my kids, and it heals and prevents the wintery itching and cracking.  If you don't want the side effects of steroid creams or hydrocortisone, this is a great option.",10,9,CTRes,"Brown eyes, Brunette hair, Light skin tone, Combination skin",25-34,Aging,1
2020-02-08,02_Feb_2020,No,No,No,,1 star,P4R855,,"Initially I loved this moisturizer! I have very dry skin, especially in the winter, and I thought I had finally found my skin savior. However, after about a month of use my pores were incredibly clogged and I broke out worse than ever before :( Really wish this would have worked for me!",28,1,ashleyb01,"Blue eyes, Brunette hair, Fair skin tone, Dry skin",,Dullness,1
2020-02-04,02_Feb_2020,No,Yes,No,,5 stars,P4R856,Best moisturizer!,This product is amazing! It so moisturizing but not greasy or heavy at all.,5,0,Chloeb0212,"Blue eyes, Brunette hair, Light skin tone, Combination skin",Over54,,1
2020-02-01,26_Jan_2020,No,Yes,No,,5 stars,P4R857,Favorite Moisturizer,I found this a few years ago and haven’t looked back. I initially used it solely on my face when I was dealing with some pretty bad dryness. Now I use it all over. It drys down fairly quickly and leaves my skin soft and hydrated.,1,0,makeupaddict17,"Blue eyes, Brunette hair, Light skin tone, Normal skin",,Aging,1
2020-02-01,26_Jan_2020,No,No,No,,3 stars,P4R858,Meh..,"It’s a nice moisturizer, but it doesn’t help with dry skin at all. Seriously, if you have any dry skin THIS WILL NOT HELP YOU. But if you’re looking to slightly hydrate your skin this will do. Im kind of sad because the ratings on this was so high.. Also, I never leave reviews, but I felt like I needed to or something..",28,6,MalDerp,"Green eyes, Blonde hair, Light skin tone, Dry skin",,,1
2020-01-30,26_Jan_2020,No,Yes,No,,4 stars,P4R859,unsure,"not sure exactly how I feel...it works well overnight in combination with my acne meds but during the day it makes my skin very oily. I think if you have combo to oily skin, this is good to use once a day but definitely not twice a day",12,1,hirisbeauty,"Hazel eyes, Blonde hair, Porcelain skin tone, Oily skin",,Acne,1
2020-01-28,26_Jan_2020,No,No,No,,1 star,P4R860,Not for me,"I wanted to like this product so much. I have combination skin. I have have sections that are so dry and flaky and others that are pretty normal. Well, this stuff did cure the dryness, but it also made my skin so oily that I was having all kinds of breakouts.",1,0,ctbishop,"Green eyes, Blonde hair, Fair skin tone, Dry skin",,Dullness,1
2020-01-28,26_Jan_2020,No,No,No,,1 star,P4R861,Clogged pores - not for sensitive skin,"I started to get whiteheads on my face, so there was something in there that was clogging my pores. I do see now it says for “face and elsewhere” so I don’t think this is good for sensitive skin. I wouldn’t put a body lotion on my face.",14,4,Mbabs20,"Hazel eyes, Brunette hair, Fair skin tone, Dry skin",,,1
2020-01-28,26_Jan_2020,No,No,No,,1 star,P4R862,Not good for dryness,"I was hoping this would cure my dry skin and acne combo. It did not help with dryness at all. If anything I had to layer more creams overtop just to not feel any tightness in my cheeks, nose, and forehead. It also seems to clog my pores. I stopped using it on my face and now use it on my body so that I can finish the tub I bought.",6,0,Pishimonmishi,"Brown eyes, Brunette hair, Olive skin tone, Combination skin",,Acne,1
2020-01-26,26_Jan_2020,No,Yes,No,,5 stars,P4R863,BEST MOISTURIZER/CREAM EVER!!,I love this! It works for my normal to oily skin very well. Does not break me out at all and all the ingredients are safe for my sensitive skin. It comes with a lot of product so you get your money’s worth! If you’re thinking about purchasing a cream for your face try this.,2,0,asantyy,"Brown eyes, Brunette hair, Olive skin tone, Combination skin",,Acne,1
2020-01-26,26_Jan_2020,No,Yes,No,,5 stars,P4R864,A holy grail that WONT break out skin,"This winter my skin has been dryer than usual, and let me tell you, this sAVED MY SKIN. Being acne prone, I was nervous but this hasn't broken my skin out at all. I would highly recommend it, it also never burns dry skin like other creams!!",2,0,mj33,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2020-01-26,26_Jan_2020,No,Yes,No,,5 stars,P4R865,Atopic Dermatitis consumer APPROVED!,"I have atopic dermatitis in almost my entire body including my legs, arms and between legs. I have used prescription products and medicines by my dermatologist and this specific product is the one that has taken me out of the worst with the condition, I love it, I hope it never sold out or not exist anymore.",5,1,yadriana93,"Brown eyes, Brunette hair, Olive skin tone, Dry skin",,Cellulite,1
2020-01-25,19_Jan_2020,No,Yes,Yes,,4 stars,P4R866,great product,Love this product for night application on my extremely dry skin days. Minus 1 star for packaging appeareance-it looks medicinal,2,32,browneyedrn,"Brown eyes, Blonde hair, Medium skin tone, Dry skin",,Aging,1
2020-01-24,19_Jan_2020,No,Yes,No,,5 stars,P4R867,6 years and still loving it!,"About to purchase my 4th 6 oz container. Shortly after giving birth my face would get super dry and red spots. I was trying all kinds of moisturizers and remedies. 6 years later of finding this product I haven't looked back! No crazy breakouts, very smooth transition to my morning routine.",6,1,sharonellen,"Hazel eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2020-01-23,19_Jan_2020,No,Yes,No,,5 stars,P4R868,Incredible Product,I use this every night before bed and now my skin feels better than ever! This product is a game changer!,1,0,BeautyMakeupEtc,"Blue eyes, Brunette hair, Tan skin tone, Combination skin",,Acne,1
2020-01-23,19_Jan_2020,No,Yes,No,,4 stars,P4R869,,Whenever I have extremely dry flaking skin this comes to my rescue! A little bit goes a long way with this too. I would definitely recommend to anyone with very dry skin.,1,0,ckl9,"Blue eyes, Blonde hair, Fair skin tone, Combination skin",,Acne,1
2020-01-23,19_Jan_2020,No,Yes,No,,5 stars,P4R870,acne prone skin - will never use another product,"I have acne prone skin. Very acne prone skin. Most of it is hormonal - but I’ve been struggling with it for years. I also have pretty combination skin, I’m not always very dry but I’m not always oily either. During the winter months, my skin flakes underneath my makeup like crazy. My skin will feel moisturized and I put my makeup on and suddenly my skin is flaming everywhere and looks disgusting. 

This moisturizer changed the game. I won’t use anything else now. I feel so sorry for those who said it makes them break out because I’ve had nothing but a great experience with this moisturizer. I think that’s a true testament to say that everyone reacts differently to things. Even after using a cleanser one day that was too much for my skin, this moisturizer soothed my skin like no other. I can’t believe I didn’t hear about this earlier!!! I always thought using heavy moisturizers was the key to curing dry skin, if you use a little bit, this feels light AND moisturizes your skin like no other. Will never use another product!",7,15,harmonyredding,"Hazel eyes, Blonde hair, Fair skin tone, Combination skin",,Acne,1
2020-01-23,19_Jan_2020,No,Yes,No,,5 stars,P4R871,Absolutely Love,"I absolutely love this product. I got this as a replacement for my DE F-Balm... Which I started using for eczema (and it works) but it was too expensive to use to much every day. Now I'm using this on nearly my whole body every night, and my ""hot"" spots every day. I love the feel of it, the subtle normal lotion smell, and I am definitely going to get the tube next time.",4,1,RoxyontheRocks,"Green eyes, Blonde hair, Light skin tone, Oily skin",,Acne,1
2020-01-22,19_Jan_2020,No,Yes,No,,5 stars,P4R872,10-Oct,"Amazing! I have extremely dry skin and this really helps to fix it. This is my go-to moisturizer, I will never try another, I'm on my fifth jar of this stuff!",1,0,Daniellev21,"Brown eyes, Brunette hair, Medium skin tone, Dry skin",,Dullness,1
2020-01-22,19_Jan_2020,No,Yes,No,,5 stars,P4R873,Buy The Big One,"Seriously, buy the big one. You won't regret it. I cannot get enough of this moisturizer. I would buy this by the barrel if I could. I've been using this as a daily moisturizer for years now. I use it on my face and body. For my face I typically just use it at night as it is a heavier moisturizer and use FAB's face specific moisturizer in the morning. But on days I think I really need the extra hydration I'll use it in the morning as well. My skin is incredibly sensitive and this not only moisturizes, sinks in fast, and wears well under makeup...it also calms my skin after iritation! Weather it's a new skin care product that burns, new laundry soap that itches, dry hands from hospital sanitizers, or an allergic reaction, I know this moisturizer will calm and soothe my skin.",7,1,mrsfeedback,"Brown eyes, Brunette hair, Light skin tone, Combination skin",Over54,Acne,1
2020-01-20,19_Jan_2020,No,No,No,,1 star,P4R874,WILL CLOG SENSITIVE / ACNE PRONE SKIN!! horrible!!,"This product was recommended to me by a good friend, a bit pricy for a face cream compared to my usual fare but nonetheless I decided to try it. It is the worst thing to ever happen to my skin. It clogged every single pore, black heads EVERYWHERE and didn’t moisturize my skin AT ALL. In fact it somehow became more dry. I got so many new pimples I’m literally on the verge of tears. Do NOT buy this product if you have acne prone skin, for the love of god.",30,18,Champagnemommmy,"Brown eyes, Gray hair, Fair skin tone, Normal skin",,Acne,1
2020-01-20,19_Jan_2020,Yes,Yes,No,,5 stars,P4R875,Amazing,This is the best cream for dry skin. My feet were incredibly dry and I started using this cream. It was amazing how fast they healed. I highly recommend and I use this all over.,5,0,thompsam,"Green eyes, Brunette hair, Light skin tone, Dry skin",,Aging,1
2020-01-19,19_Jan_2020,Yes,Yes,No,,5 stars,P4R876,,"This feels very luxuriously thick when you put it on but it absorbs entirely without feeling heavy or greasy. Love this product, hydrates really well.",4,0,Coco1222,"Hazel eyes, Blonde hair, Fair skin tone, Combination skin",,Aging,1
2020-01-19,19_Jan_2020,No,Yes,No,,5 stars,P4R877,Like it,"Love it! Very moisturizing, and soothing. Got it as a sample first, but so satisfied to buy more",0,0,LArabbit,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2020-01-19,19_Jan_2020,No,No,No,,1 star,P4R878,,"Bought this product based on positive reviews and a few YouTube videos. This clogged my pores and caused giant exploding pimples all over my face. I rarely get a zit leading up to my period, so drastically different than normal. I returned",6,0,MakeupMurdy,"Brown eyes, Black hair, Light skin tone, Normal skin",,,1
2020-01-19,19_Jan_2020,No,Yes,No,,5 stars,P4R879,super good for sensitive skin,"I used to have a hard time with moisturizers because many would affect my skin badly. My skin would get red, itchy and dry. This product changed my skin drastically for the better. Totally recommend.",0,0,maweea,"Brown eyes, Red hair, Light skin tone, Combination skin",,Acne,1
2020-01-19,19_Jan_2020,Yes,Yes,No,,5 stars,P4R880,Sensitive skin,"This cream is great. Perfect for sensitive skin. My daughter has Eczema, it def helps.",2,0,nissan,,,,1
2020-01-19,19_Jan_2020,No,Yes,No,,5 stars,P4R881,Healed 10-year-old skin issues,"I started using this on my legs, and within a week and a half, some of the scarring/scaliness on them almost completely healed up. The price is hefty, so I’ve been combining this with other lotions to ease the price pain. Still works great! Definitely recommend, especially to anyone else who has tried every lotion under the sun for dry skin and just hasn’t found their “holy grail” product yet.",0,1,OfficerLipstick,"Hazel eyes, Brunette hair, Fair skin tone, Normal skin",,Aging,1
2020-01-19,19_Jan_2020,No,Yes,No,,5 stars,P4R882,,Love this product! I suffered bad irritation from a cleanser and this helped my skin bounce back!,0,0,Ruthster,"Brown eyes, Brunette hair, Medium skin tone, Normal skin",,Acne,1
2020-01-19,19_Jan_2020,No,Yes,No,,5 stars,P4R883,,"Love this stuff forever--a perfect winter head-to-toe moisturizer, though I primarily use it on my face at night. I have oily and sensitive skin, so finding a winter face moisturizer, in particular, that is occlusive but not greasy/heavy feeling is tricky. This is the best I've found. The texture is more whipped than just plain thick and heavy, which I love. I know there is eucalyptus leaf oil in it, so it's not completely free of potentially irritating botanical ingredients, but it's pretty far down on the list. I've never experienced any irritation when using this. Highly recommend.",7,0,specialj67,"Blue eyes, Blonde hair, Fair skin tone, Oily skin",,Acne,1
2020-01-19,19_Jan_2020,No,No,No,,1 star,P4R884,Not good for acne!!!,Horrible cream. I have normal/combination skin with acne and i’m not sensitive AT ALL to any skincare products. I used this cream over a few days and i have never broken out worse. My skin never does this with any of the products i have tried and owned.,10,1,zrens201,"Blue eyes, Blonde hair, Light skin tone, Normal skin",,Acne,1
2020-01-18,12_Jan_2020,No,Yes,No,,5 stars,P4R885,My Go-To Cream,"Absolutely love this product! Have suffered from skin conditions and am very prone to sunburns. This cream softens the scales and soothes the burn. If you burn easy I would recommend this product because it helps stop the damage of the burn, like peeling and redness.",0,0,GracieEgenes,"Blue eyes, Blonde hair, Fair skin tone, Dry skin",,Dark Circles,1
2020-01-14,12_Jan_2020,No,Yes,No,,5 stars,P4R886,Buy this ASAP,This is the cream/lotion I have always needed and never knew existed. I have awful heels from hours of standing all day on concrete floors as a nurse. I can wear sandals without hesitation. Seriously- you need this in your life. The fragrance is mild but neutral. If you have dry cracked skin this lotion is your savior!,1,1,AmberPulliza,"Fair skin tone, Dry skin",,,1
2020-01-12,12_Jan_2020,Yes,Yes,No,,5 stars,P4R887,"True skin savior for dry , parched skin","I love this cream for my dry, cracking skin on my fingers and hands, it helps to heal my skin. I also use on face after other moisturizers to seal in moisture. I got some of this cream too for my mom who has rosacea sensitive skin. This cream is similar to Kate Somerville dry skin savior but this cream has more bang for your hard earned money.",5,0,sweet49,"Blue eyes, Brunette hair, Light skin tone, Dry skin",45-54,Aging,1
2020-01-11,05_Jan_2020,No,Yes,No,,5 stars,P4R888,FABULOUS PRODUCT !,FABULOUS product !   I have dry skin that can itch so much that I can't sleep at night.   I am always looking for a 'magical' product that can quickly eliminate the discomfort. I had a sample of this I was using on my face and loved the way it felt so decided to give it a go on the rest of my body  and it worked immediately to eliminate the itching !  I went right away to buy a larger size and it has truly been a life-saver.   I am delighted to have found this product !,0,0,Chalvo1,"Blue eyes, Brunette hair, Fair skin tone, Normal skin",,Aging,1
2020-01-10,05_Jan_2020,No,Yes,No,,5 stars,P4R889,,So I bough the small size of the cream to try it as a moisturizer but it never worked on my face BUT I get the worst eczema on my hands in the winter and the worst razor rash and this is MAGICAL! I can’t believe how fast it works its amazing!,2,0,Xynab,"Brown eyes, Black hair, Light skin tone, Combination skin",,Acne,1
2020-01-09,05_Jan_2020,No,No,No,,1 star,P4R890,Please listen to the acne/sensitive skin reviews!!,"If you have acne, oily, or sensitive skin this product is NOT for you. I only used it for less than a week and it gave to me 2 huge pimples on my forehead and also smaller acne bumps elsewhere. It also caused a burning/itching sensation all over my face every time after I applied it, which I have never experienced with a moisturizer before! Such a disappointment and doesn’t live up to the hype. :(",9,0,BaileeMakeup,"Hazel eyes, Blonde hair, Fair skin tone, Combination skin",,Acne,1
2020-01-07,05_Jan_2020,No,Yes,No,,5 stars,P4R891,Great daily lotion,I have had issues with eczema and have to be careful what I put on my face. This stuff is amazing.  I use it on my face and body to keep hydrated. It hasn’t had any negative impacts with my makeup or a prescription retinol I now use.  My parents tried a bit when they visited and now use it all of the time too.,2,0,Indy701,"Brown eyes, Brunette hair, Porcelain skin tone, Oily skin",,Acne,1
2020-01-07,05_Jan_2020,No,No,No,,1 star,P4R892,Smells Terrible and Pills Like Crazy,"I bought this stuff with such high hopes, but am thoroughly disappointed. I’m pregnant, so my skin has been extremely dry lately, and I hoped this might helps the dry patches appearing on my face and help soothe my baby bump. But oh my god, the smell is TERRIBLE! It smells like a nasty after shave product. And the lotion was pilling and peeling off of my face almost immediately after application like crazy. I woke up this morning with my skin feeling even more itchy than usual, as well. I like the toner pads and the hydrating serum from FAB, but this stuff has got to go back. The search for a decent face cream continues.",5,2,sparklysabrina,"Blue eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2020-01-06,05_Jan_2020,No,No,No,,1 star,P4R893,Caused breakout,"I do not have acne prone skin, but this made me break out terribly all over in just a week of use on my face.  I would not recommend for a face moisturizer.  I only bought because it was more affordable than what I typically use.  No other face moisturizers have caused breakout issues so I'm not sure what the problem ingredient was or if it was too heavy for the face.",5,1,sariep,"Blue eyes, Brunette hair, Fair skin tone, Normal skin",,Dullness,1
2020-01-05,05_Jan_2020,No,Yes,No,,5 stars,P4R894,BEST FOR ECZEMA,"This stuff is INCREDIBLE!! I have eczema on my hands and especially in the winter time they get really dry and cracked and sometimes bleed. This lotion is the most amazing stuff to cure my dry, itchy and cracked skin. I even love this lotion more than my $250 (after insurance) prescription creme!!",0,0,CatLover7,"Brown eyes, Brunette hair, Tan skin tone, Dry skin",,Dark Circles,1
2020-01-03,29_Dec_2019,No,Yes,No,,5 stars,P4R895,Amazing!,This moisturizer is a must have! This helps with dryness and is very light and gives your complexion a nice glow. Love this product!,12,4,jenna6,"Blue eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2020-01-03,29_Dec_2019,No,Yes,Yes,,4 stars,P4R896,,Really love this cream leaves my skin feeling amazing,0,0,Yusefy88,"Brown eyes, Black hair, Olive skin tone, Combination skin",,Aging,1
2020-01-02,29_Dec_2019,No,Yes,No,,4 stars,P4R897,A solid no frills moisturizer,"This is not the most exciting product ever but it does work well. It’s a very good basic moisturizer. no scent, no special features just moisture. It’s not as intensely moisturizing as it claims and it soaks into my skin very quickly but I have extremely dry skin and usually layer this with a serum or oil so it’s not that big of a deal for me. I like how much product you get for the price. Overall it does what it claims but it’s not the most exciting product so I’m not sure if I’ll repurchase",0,0,emily11rose,"Green eyes, Blonde hair, Fair skin tone, Dry skin",,Dark Circles,1
2020-01-02,29_Dec_2019,No,Yes,No,,5 stars,P4R898,"Goodbye, flakiness!","I typically don't write reviews. But this is the holy grail I've been waiting for and I need to make sure someone else buys this. I have EXTREMELY dry skin. Even during the summers I have flakiness around my face. I've used countless moisturizers but they were either too thick on the skin or it didn't feel like it did anything. I heard great things about this moisturizer so I had to buy.
The first time I put this on my face it actually felt like it did something. The flakiness around my nose has been nearly eradicated and I've only been using this for two days. It's already made such a difference. My face is softer and my face no longer feels tight. The best thing is that a dime size of  this is enough to cover your face. Do yourself a favor and buy this for yourself.",5,0,peachytots,"Brown eyes, Brunette hair, Light skin tone, Dry skin",,Acne,1
2020-01-01,29_Dec_2019,No,Yes,No,,5 stars,P4R899,,"I have sensitive skin, it gets so dry in the winter, and sometimes my eczema will flare up, but this stuff is a cure all!! It’s true about not being greasy, it absorbs into my skin so nicely and my skin has never felt more moisturized.",0,0,sydsuth,"Green eyes, Brunette hair, Light skin tone, Combination skin",,Blackheads,1
2019-12-29,29_Dec_2019,No,Yes,Yes,,4 stars,P4R900,Surprised,"This is actually a really good moisturizer. I got a sample gift from Sephora, not thinking much of it. I use it now and I can definitely see why people like it. It doesn't sit on top of your skin, but soaks in, which is good. I will definitely be buying more. The only con would be I wish it had some anti-aging.",2,0,mds127,"Blue eyes, Brunette hair, Light skin tone, Dry skin",,Acne,1
2019-12-27,22_Dec_2019,No,Yes,No,,5 stars,P4R901,TREAT YOURSELF,"TREAT YOURSELF- your skin will thank you! I have unfortunately been blessed with a frustrating mix of very dry, and very oily skin, which is highly sensitive, prone to cystic acne, breakouts, and painful areas of inflammation (thanks dad!) This cream has honestly been a god sent for me, as it has no fillers, parabens, fragrance, or anything that will cause my angry skin to itch or breakout. On the contrary it has helped my skin issues tremendously, and also works well on other areas of the body that can become dry, and sensitive, such as elbows, knees, and feet. Thanks First Aid Beauty for reducing my painful cystic acne, and for allowing me to feel to realize that I actually had beautiful skin all along :)",0,0,MandaPandaxx,"Blue eyes, Black hair, Fair skin tone, Combination skin",,Acne,1
2019-12-26,22_Dec_2019,No,Yes,No,,5 stars,P4R902,,"Ive had bumpy KP skin in my arms since I was a teenager. Ive spent 20 years trying to find a product that helped - prescription and over counter. Nothing ever made much of a difference. Until now! This cream is amazing. My arms have not been this clear or smooth in years!! I no longer have to be embarrassed when wearing tank tops, its made that much of a difference. Can’t recommend enough. And even if you don't have KP, this cream is a great moisturizer. It melts into your skin and leaves it soft, mot sticky or oily. Also great for sensitive skin! Its really hard to find creams without perfume/scents. This one has no irritants and it doesn’t smell bad either! Love love love.",1,0,LadyLiz007,"Green eyes, Brunette hair, Light skin tone, Combination skin",,Acne,1
2019-12-26,22_Dec_2019,No,Yes,Yes,,5 stars,P4R903,Where have you been all my life,I received this as an sample. I have sensitive eyes and cannot find anything for under eye cream. I decided to use this under my eyes and it doesn’t dry out or too oily. It’s perfect. This is an wonderful product.,1,0,pleasesweetie,"Brown eyes, Brunette hair, Light skin tone, Oily skin",,Acne,1
