Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Negative,,,,Texture,241,4.775933609958506,19, dark acne scars,30,27,4.925925925925926,4.933333333333334,, not greasy,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Negative,,,,Odor,51,4.705882352941177,0, very dry T-Zone quickly,26,26,4.846153846153846,4.846153846153846,, doesn't smell bad,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Positive,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, first ingredient is colloidal oatmeal,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Skin,700,4.817142857142857,19, does NOT leave skin oily/greasy,16,13,4.6923076923076925,4.75,, reducing irritation,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Skin,700,4.817142857142857,26, absorbs it immediately,12,12,5.0,5.0,, soothing the skin,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Skin,700,4.817142857142857,42, not look glossy midday,7,7,5.0,5.0,, act up with changes in the weather,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Texture,241,4.775933609958506,17, absorbs very well,6,6,4.666666666666667,4.666666666666667,, rich consistency,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Texture,241,4.775933609958506,8, never caused an acne flare,20,20,4.8,4.8,, doesn't feel too heavy,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Odor,51,4.705882352941177,2, Very gentle,11,11,4.363636363636363,4.363636363636363,, appreciate that this is fragrance free,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Price,84,4.928571428571429,2, Very gentle,23,23,4.956521739130435,4.956521739130435,, For the price,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Price,84,4.928571428571429,3, very dry T-Zone quickly,14,14,5.0,5.0,, this is definitely well worth it,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, first ingredient is colloidal oatmeal,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Skin,699,4.816881258941344,19, does NOT leave skin oily/greasy,16,13,4.6923076923076925,4.75,, reducing irritation,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Skin,699,4.816881258941344,26, absorbs it immediately,12,12,5.0,5.0,, soothing the skin,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Skin,699,4.816881258941344,42, not look glossy midday,7,7,5.0,5.0,, act up with changes in the weather,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Texture,241,4.775933609958506,17, absorbs very well,6,6,4.666666666666667,4.666666666666667,, rich consistency,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Texture,241,4.775933609958506,8, never caused an acne flare,20,20,4.8,4.8,, doesn't feel too heavy,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Odor,51,4.705882352941177,2, Very gentle,11,11,4.363636363636363,4.363636363636363,, appreciate that this is fragrance free,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Price,84,4.928571428571429,2, Very gentle,23,23,4.956521739130435,4.956521739130435,, For the price,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Negative,,,,Price,84,4.928571428571429,3, very dry T-Zone quickly,14,14,5.0,5.0,, this is definitely well worth it,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
Positive,,,,Skin,700,4.817142857142857,39, this one is PERFECTION,14,14,4.571428571428571,4.571428571428571,, sensitive,P4R625,1,23 July 2020,No,No,No,21,3,,Blackheads
Positive,,,,Skin,700,4.817142857142857,19, does NOT leave skin oily/greasy,16,13,4.6923076923076925,4.75,, relieves irritation,P4R625,1,23 July 2020,No,No,No,21,3,,Blackheads
Negative,,,,Skin,699,4.816881258941344,39, this one is PERFECTION,14,14,4.571428571428571,4.571428571428571,, sensitive,P4R625,1,23 July 2020,No,No,No,21,3,,Blackheads
Negative,,,,Skin,699,4.816881258941344,19, does NOT leave skin oily/greasy,16,13,4.6923076923076925,4.75,, relieves irritation,P4R625,1,23 July 2020,No,No,No,21,3,,Blackheads
Positive,,,,Sentiment,119,4.9411764705882355,1, calm any redness,19,15,4.933333333333334,4.947368421052632,, BEST face cream I have ever owned,P4R626,5,23 July 2020,Yes,Yes,No,5,0,,Aging
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, hydrated,P4R626,5,23 July 2020,Yes,Yes,No,5,0,,Aging
Negative,,,,Sentiment,119,4.9411764705882355,1, calm any redness,19,15,4.933333333333334,4.947368421052632,, BEST face cream I have ever owned,P4R626,5,23 July 2020,Yes,Yes,No,5,0,,Aging
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, hydrated,P4R626,5,23 July 2020,Yes,Yes,No,5,0,,Aging
Positive,,,,Skin,700,4.817142857142857,13, reduced redness,19,19,4.947368421052632,4.947368421052632,, oily skin,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Positive,,,,Skin,700,4.817142857142857,16, combination skin,9,9,5.0,5.0,, flakiness is gone,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Positive,,,,Texture,241,4.775933609958506,23, recommend trying this product,17,17,4.882352941176471,4.882352941176471,, soaks into my skin quickly,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Positive,,,,Texture,241,4.775933609958506,6, recommend trying this product,21,17,4.823529411764706,4.809523809523809,, no oiliness throughout the day,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Positive,,,,Price,84,4.928571428571429,2, Very gentle,23,23,4.956521739130435,4.956521739130435,, Great price for an amazing product,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Negative,,,,Skin,699,4.816881258941344,13, reduced redness,19,19,4.947368421052632,4.947368421052632,, oily skin,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Negative,,,,Skin,699,4.816881258941344,16, combination skin,9,9,5.0,5.0,, flakiness is gone,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Negative,,,,Texture,241,4.775933609958506,23, recommend trying this product,17,17,4.882352941176471,4.882352941176471,, soaks into my skin quickly,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Negative,,,,Texture,241,4.775933609958506,6, recommend trying this product,21,17,4.823529411764706,4.809523809523809,, no oiliness throughout the day,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Negative,,,,Price,84,4.928571428571429,2, Very gentle,23,23,4.956521739130435,4.956521739130435,, Great price for an amazing product,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
Positive,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, finally found a great moisturizer,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, thickness of the cream,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Skin,700,4.817142857142857,5, redness gone,43,41,4.634146341463414,4.651162790697675,, soothes and moisturizes heavenly,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, finally found a great moisturizer,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, thickness of the cream,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Skin,699,4.816881258941344,5, redness gone,43,41,4.634146341463414,4.651162790697675,, soothes and moisturizes heavenly,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Sentiment,119,4.9411764705882355,3, Very gentle,18,18,5.0,5.0,, cannot say enough good things about this product,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,5, redness gone,43,41,4.634146341463414,4.651162790697675,, moisturizing cream,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, my cheeks are noticeably less red,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Positive,,,,Odor,51,4.705882352941177,0, very dry T-Zone quickly,26,26,4.846153846153846,4.846153846153846,, has no fragrance,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Positive,,,,Price,84,4.928571428571429,0, calm any redness,34,32,4.875,4.882352941176471,, bigger tub is so worth the money,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Negative,,,,Sentiment,119,4.9411764705882355,3, Very gentle,18,18,5.0,5.0,, cannot say enough good things about this product,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,5, redness gone,43,41,4.634146341463414,4.651162790697675,, moisturizing cream,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, my cheeks are noticeably less red,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Negative,,,,Odor,51,4.705882352941177,0, very dry T-Zone quickly,26,26,4.846153846153846,4.846153846153846,, has no fragrance,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Negative,,,,Price,84,4.928571428571429,0, calm any redness,34,32,4.875,4.882352941176471,, bigger tub is so worth the money,P4R629,5,20 July 2020,Yes,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,11, recommend trying this product,70,67,4.865671641791045,4.871428571428571,, occasional redness due to eczema,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
Positive,,,,Texture,241,4.775933609958506,7, fungal acne,11,11,4.818181818181818,4.818181818181818,, Soothing cream that sinks into skin,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
Positive,,,,Odor,51,4.705882352941177,0, very dry T-Zone quickly,26,26,4.846153846153846,4.846153846153846,, No fragrance,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
Negative,,,,Skin,699,4.816881258941344,11, recommend trying this product,70,67,4.865671641791045,4.871428571428571,, occasional redness due to eczema,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
Negative,,,,Texture,241,4.775933609958506,7, fungal acne,11,11,4.818181818181818,4.818181818181818,, Soothing cream that sinks into skin,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
Negative,,,,Odor,51,4.705882352941177,0, very dry T-Zone quickly,26,26,4.846153846153846,4.846153846153846,, No fragrance,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
Positive,,,,Skin,700,4.817142857142857,21, combination acne prone skin,32,32,4.96875,4.96875,, recent acne breakout,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Positive,,,,Skin,700,4.817142857142857,10, lifetime product for me,60,58,4.775862068965517,4.783333333333333,, dry skin,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Positive,,,,Competitor,14,3.7857142857142856,0, very dry T-Zone quickly,14,11,3.4545454545454546,3.7857142857142856,, Tatcha water cream,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Positive,,,,Competitor,14,3.7857142857142856,0, very dry T-Zone quickly,14,11,3.4545454545454546,3.7857142857142856,, Peter thomas Roth water cream,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Negative,,,,Skin,699,4.816881258941344,21, combination acne prone skin,32,32,4.96875,4.96875,, recent acne breakout,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Negative,,,,Skin,699,4.816881258941344,10, lifetime product for me,60,58,4.775862068965517,4.783333333333333,, dry skin,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Negative,,,,Competitor,14,3.7857142857142856,0, very dry T-Zone quickly,14,11,3.4545454545454546,3.7857142857142856,, Tatcha water cream,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Negative,,,,Competitor,14,3.7857142857142856,0, very dry T-Zone quickly,14,11,3.4545454545454546,3.7857142857142856,, Peter thomas Roth water cream,P4R631,5,19 July 2020,No,Yes,No,0,0,,Sun Damage
Positive,,,,Performance,76,4.921052631578948,3, very dry T-Zone quickly,7,7,5.0,5.0,, calms down my skin,P4R632,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Performance,76,4.921052631578948,3, very dry T-Zone quickly,7,7,5.0,5.0,, calms down my skin,P4R632,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, SO great! Really kept my skin so hydrated,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Texture,241,4.775933609958506,6, recommend trying this product,21,17,4.823529411764706,4.809523809523809,, not too oily,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, with other FAB products,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Purchase,46,4.934782608695652,2, Very gentle,16,16,4.9375,4.9375,, still had well over half of the tub left,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Demographic,54,4.962962962962963,1, Very gentle,31,31,4.838709677419355,4.838709677419355,, colder months,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, SO great! Really kept my skin so hydrated,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Texture,241,4.775933609958506,6, recommend trying this product,21,17,4.823529411764706,4.809523809523809,, not too oily,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, with other FAB products,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Purchase,46,4.934782608695652,2, Very gentle,16,16,4.9375,4.9375,, still had well over half of the tub left,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Demographic,54,4.962962962962963,1, Very gentle,31,31,4.838709677419355,4.838709677419355,, colder months,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,18, thick and hydrating,53,44,4.840909090909091,4.867924528301887,, extremely sensitive skin,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Skin,700,4.817142857142857,21, combination acne prone skin,32,32,4.96875,4.96875,, break out in acne,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, some of my former redness,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Skin,700,4.817142857142857,19, does NOT leave skin oily/greasy,16,13,4.6923076923076925,4.75,, irritation caused by previous products to subside,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Skin,699,4.816881258941344,18, thick and hydrating,53,44,4.840909090909091,4.867924528301887,, extremely sensitive skin,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Skin,699,4.816881258941344,21, combination acne prone skin,32,32,4.96875,4.96875,, break out in acne,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, some of my former redness,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Negative,,,,Skin,699,4.816881258941344,19, does NOT leave skin oily/greasy,16,13,4.6923076923076925,4.75,, irritation caused by previous products to subside,P4R634,5,19 July 2020,No,Yes,No,4,0,,Acne
Positive,,,,Demographic,54,4.962962962962963,1, Very gentle,31,31,4.838709677419355,4.838709677419355,, winter hits,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Ingredients,12,4.833333333333333,0, very dry T-Zone quickly,12,9,4.888888888888889,4.833333333333333,, colloidal oatmeal,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,16, combination skin,9,9,5.0,5.0,, some dry flakes,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, nice hydrating factor,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Demographic,54,4.962962962962963,1, Very gentle,31,31,4.838709677419355,4.838709677419355,, winter hits,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Ingredients,12,4.833333333333333,0, very dry T-Zone quickly,12,9,4.888888888888889,4.833333333333333,, colloidal oatmeal,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Skin,699,4.816881258941344,16, combination skin,9,9,5.0,5.0,, some dry flakes,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, nice hydrating factor,P4R635,5,19 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Texture,241,4.775933609958506,15, fungal acne,10,10,4.6,4.6,, ur skin Very soft,P4R636,5,19 July 2020,Yes,Yes,Yes,1,0,,Acne
Negative,,,,Texture,241,4.775933609958506,15, fungal acne,10,10,4.6,4.6,, ur skin Very soft,P4R636,5,19 July 2020,Yes,Yes,Yes,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, super hydrating,P4R637,5,19 July 2020,Yes,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,13, reduced redness,19,19,4.947368421052632,4.947368421052632,, oily skin,P4R637,5,19 July 2020,Yes,Yes,No,1,0,,Acne
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, super hydrating,P4R637,5,19 July 2020,Yes,Yes,No,1,0,,Acne
Negative,,,,Skin,699,4.816881258941344,13, reduced redness,19,19,4.947368421052632,4.947368421052632,, oily skin,P4R637,5,19 July 2020,Yes,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,13, reduced redness,19,19,4.947368421052632,4.947368421052632,, oily skin,P4R638,5,19 July 2020,No,Yes,No,2,0,,Acne
Negative,,,,Skin,699,4.816881258941344,13, reduced redness,19,19,4.947368421052632,4.947368421052632,, oily skin,P4R638,5,19 July 2020,No,Yes,No,2,0,,Acne
Positive,,,,Application,74,4.797297297297297,1, very dry T-Zone quickly,13,13,4.6923076923076925,4.6923076923076925,, apply my night time retinoid,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
Positive,,,,Application,74,4.797297297297297,9, Very gentle,21,19,4.7894736842105265,4.809523809523809,, my décolletage,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
Positive,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, not oily cream,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
Negative,,,,Application,74,4.797297297297297,1, very dry T-Zone quickly,13,13,4.6923076923076925,4.6923076923076925,, apply my night time retinoid,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
Negative,,,,Application,74,4.797297297297297,9, Very gentle,21,19,4.7894736842105265,4.809523809523809,, my décolletage,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
Negative,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, not oily cream,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
Positive,,,,Skin,700,4.817142857142857,2, pcos so,29,29,4.896551724137931,4.896551724137931,, My skin was so dehydrated,P4R640,5,16 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Motivation,75,4.386666666666667,2, dark acne scars,22,22,4.318181818181818,4.318181818181818,, i couldn’t be happier !,P4R640,5,16 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Skin,699,4.816881258941344,2, pcos so,29,29,4.896551724137931,4.896551724137931,, My skin was so dehydrated,P4R640,5,16 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Motivation,75,4.386666666666667,2, dark acne scars,22,22,4.318181818181818,4.318181818181818,, i couldn’t be happier !,P4R640,5,16 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Sentiment,119,4.9411764705882355,2, very dry T-Zone quickly,25,24,5.0,5.0,, always recommend this product,P4R641,5,14 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, Works great with my skin.,P4R641,5,14 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Sentiment,119,4.9411764705882355,2, very dry T-Zone quickly,25,24,5.0,5.0,, always recommend this product,P4R641,5,14 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, Works great with my skin.,P4R641,5,14 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, heavy cream,P4R643,5,13 July 2020,No,Yes,No,0,1,,Acne
Negative,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, heavy cream,P4R643,5,13 July 2020,No,Yes,No,0,1,,Acne
Positive,,,,Skin,700,4.817142857142857,2, pcos so,29,29,4.896551724137931,4.896551724137931,, ery hydrating to the skin,P4R644,4,12 July 2020,No,Yes,No,3,4,,Acne
Negative,,,,Skin,699,4.816881258941344,2, pcos so,29,29,4.896551724137931,4.896551724137931,, ery hydrating to the skin,P4R644,4,12 July 2020,No,Yes,No,3,4,,Acne
Positive,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, My dermatologist recommended it,P4R646,5,09 July 2020,No,Yes,No,8,1,,Dark Circles
Negative,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, My dermatologist recommended it,P4R646,5,09 July 2020,No,Yes,No,8,1,,Dark Circles
Positive,,,,Skin,700,4.817142857142857,27, No bumps or acne,27,27,4.62962962962963,4.62962962962963,, very dry skin,P4R647,5,08 July 2020,No,Yes,No,3,0,,
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, reduced some of my redness,P4R647,5,08 July 2020,No,Yes,No,3,0,,
Negative,,,,Skin,699,4.816881258941344,27, No bumps or acne,27,27,4.62962962962963,4.62962962962963,, very dry skin,P4R647,5,08 July 2020,No,Yes,No,3,0,,
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, reduced some of my redness,P4R647,5,08 July 2020,No,Yes,No,3,0,,
Positive,,,,Skin,700,4.817142857142857,33, price is worth it,12,12,4.75,4.75,, dry sensitive,P4R648,4,08 July 2020,No,Yes,No,4,4,,Acne
Positive,,,,Skin,700,4.817142857142857,8, Read reviews on this product,41,39,4.717948717948718,4.7317073170731705,, rip off on the 2oz size,P4R648,4,08 July 2020,No,Yes,No,4,4,,Acne
Negative,,,,Skin,699,4.816881258941344,33, price is worth it,12,12,4.75,4.75,, dry sensitive,P4R648,4,08 July 2020,No,Yes,No,4,4,,Acne
Negative,,,,Skin,699,4.816881258941344,8, Read reviews on this product,41,39,4.717948717948718,4.7317073170731705,, rip off on the 2oz size,P4R648,4,08 July 2020,No,Yes,No,4,4,,Acne
Positive,,,,Purchase,46,4.934782608695652,0, very dry T-Zone quickly,19,16,4.9375,4.947368421052632,, purchased it twice already,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Positive,,,,Skin,700,4.817142857142857,39, this one is PERFECTION,14,14,4.571428571428571,4.571428571428571,, sensitive,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Positive,,,,Skin,700,4.817142857142857,27, No bumps or acne,27,27,4.62962962962963,4.62962962962963,, very dry skin,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Positive,,,,Performance,76,4.921052631578948,2, Very gentle,8,8,5.0,5.0,, lasts forever,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Negative,,,,Purchase,46,4.934782608695652,0, very dry T-Zone quickly,19,16,4.9375,4.947368421052632,, purchased it twice already,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Negative,,,,Skin,699,4.816881258941344,39, this one is PERFECTION,14,14,4.571428571428571,4.571428571428571,, sensitive,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Negative,,,,Skin,699,4.816881258941344,27, No bumps or acne,27,27,4.62962962962963,4.62962962962963,, very dry skin,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Negative,,,,Performance,76,4.921052631578948,2, Very gentle,8,8,5.0,5.0,, lasts forever,P4R649,5,08 July 2020,No,Yes,No,6,1,,Acne
Positive,,,,Texture,241,4.775933609958506,10, Thank you First Aid Beauty!!,18,14,5.0,5.0,, without feeling oily/ greasy,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
Positive,,,,Texture,241,4.775933609958506,20, dark acne scars,4,4,4.5,4.5,, soaks in nicely,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
Positive,,,,Texture,241,4.775933609958506,10, Thank you First Aid Beauty!!,18,14,5.0,5.0,, not leaving the skin super shiny and greasy looking,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
Negative,,,,Texture,241,4.775933609958506,10, Thank you First Aid Beauty!!,18,14,5.0,5.0,, without feeling oily/ greasy,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
Negative,,,,Texture,241,4.775933609958506,20, dark acne scars,4,4,4.5,4.5,, soaks in nicely,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
Negative,,,,Texture,241,4.775933609958506,10, Thank you First Aid Beauty!!,18,14,5.0,5.0,, not leaving the skin super shiny and greasy looking,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
Positive,,,,Performance,76,4.921052631578948,1, combination acne prone skin,28,23,4.956521739130435,4.964285714285714,, intense acne,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
Positive,,,,Performance,76,4.921052631578948,0, calm any redness,31,26,4.961538461538462,4.935483870967742,, protect and nourish my damaged moisture,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
Positive,,,,Skin,700,4.817142857142857,15, first tried this moisturizer as a free sample,8,7,5.0,5.0,, damaged moisture barrier,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
Positive,,,,Application,74,4.797297297297297,0, Very gentle,16,15,4.866666666666666,4.8125,, my face and neck,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
